ID	E12_S66_known_profiled_metagenome	E1_S65_known_profiled_metagenome	E23_S55_known_profiled_metagenome	E25_S63_known_profiled_metagenome	E30_S56_known_profiled_metagenome	E3_S64_known_profiled_metagenome	E9b_S70_known_profiled_metagenome	R10b_S57_known_profiled_metagenome	R10_S69_known_profiled_metagenome	R14_S71_known_profiled_metagenome	R21_S60_known_profiled_metagenome	R26_S67_known_profiled_metagenome	R29_S61_known_profiled_metagenome	R2_S58_known_profiled_metagenome	R6b_S54_known_profiled_metagenome	R7b_S68_known_profiled_metagenome	S20b_S59_known_profiled_metagenome	S27_S72_known_profiled_metagenome	S2b_S62_known_profiled_metagenome
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	5.19981	1.31722	1.32526	1.96458	1.04587	3.47592	0.73526	1.51135	3.69967	0.56874	0.5439	0.48979	2.28102	2.17586	2.01215	4.36496	1.86687	2.50738	3.20713
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caecimuris	2.52495	1.1351	0.44879	0.78088	0.90226	2.10273	0.36699	0.59477	3.23323	0.56874	0.53838	0.39267	2.09979	1.94689	0.6141	2.41562	1.27577	1.37661	2.30322
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecichinchillae	0.0	0.0	0.0	0.01171	0.0	0.0	0.0	0.0	0.00338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0.0	0.0	0.0	0.0	0.0	0.0	0.02896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00659	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02732	0.0	0.0	0.00078	0.0	0.0	0.0	0.01604	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2.67486	0.18212	0.87647	1.172	0.14361	1.37319	0.24336	0.85878	0.43573	0.0	0.00552	0.09634	0.14042	0.22897	1.39805	1.93329	0.58452	1.06228	0.90391
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	0.09595	0.0578	0.0	0.0	0.0	0.0	0.0408	0.0	0.0	0.0	0.0	0.06849	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	51.82289	49.80603	25.12592	33.65457	24.19405	17.71173	8.01797	32.45662	67.81781	32.85164	47.37437	15.14853	61.87779	24.65021	20.52176	26.51588	23.34905	61.99535	37.19004
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	30.61279	17.29111	11.32496	14.34738	12.21944	7.56923	3.69399	13.2498	52.95473	17.90102	16.31096	6.75982	32.03713	14.61179	10.52932	15.3785	17.26982	22.22244	26.3785
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_DSM_103720	30.61279	17.29111	11.32496	14.34738	12.21944	7.56923	3.69399	13.2498	52.95473	17.90102	16.31096	6.75982	32.03713	14.61179	10.52932	15.3785	17.26982	22.22244	26.3785
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	21.2101	32.51491	13.80097	19.30719	11.97461	10.1425	4.32398	19.20682	14.86308	14.95062	31.06341	8.38871	29.84066	10.03842	9.99244	11.13738	6.07923	39.77292	10.81153
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale	21.2101	32.51491	13.80097	19.30719	11.97461	10.1425	4.32398	19.20682	14.86308	14.95062	31.06341	8.38871	29.84066	10.03842	9.99244	11.13738	6.07923	39.77292	10.81153
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	3.50233	0.22826	4.74592	7.15606	0.0	20.28007	4.62596	11.29952	0.52892	0.37726	3.29901	0.27973	1.70295	3.62847	20.39355	23.80294	15.56993	4.02813	0.0
