ID	E12_S66_known_profiled_metagenome	E1_S65_known_profiled_metagenome	E23_S55_known_profiled_metagenome	E25_S63_known_profiled_metagenome	E30_S56_known_profiled_metagenome	E3_S64_known_profiled_metagenome	E9b_S70_known_profiled_metagenome	R10b_S57_known_profiled_metagenome	R10_S69_known_profiled_metagenome	R14_S71_known_profiled_metagenome	R21_S60_known_profiled_metagenome	R26_S67_known_profiled_metagenome	R29_S61_known_profiled_metagenome	R2_S58_known_profiled_metagenome	R6b_S54_known_profiled_metagenome	R7b_S68_known_profiled_metagenome	S20b_S59_known_profiled_metagenome	S27_S72_known_profiled_metagenome	S2b_S62_known_profiled_metagenome
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor	0.0	0.0	0.0	0.0	0.0	0.0	0.00056	0.02839	0.0	0.0	0.05136	0.0	0.0	0.0	0.0	0.01058	0.04334	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris	0.0	0.0	0.0	0.0	0.0	0.0	0.00056	0.02839	0.0	0.0	0.05136	0.0	0.0	0.0	0.0	0.01058	0.04334	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	1.03585	0.86344	0.0	0.05144	0.05998	0.0786	0.01988	0.75349	0.0346	0.4104	0.17547	0.07726	0.02087	0.06483	0.04326	0.08165	0.07328	0.16667	0.07399
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2	1.03585	0.86344	0.0	0.05144	0.05998	0.0786	0.01988	0.75349	0.0346	0.4104	0.17547	0.07726	0.02087	0.06483	0.04326	0.08165	0.07328	0.16667	0.07399
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	12.40151	11.82878	0.02756	0.03271	1.00388	0.20091	0.04841	6.59912	2.14808	0.5781	2.41693	0.00832	0.92205	4.00844	5.65651	0.77739	4.63524	0.26193	3.83587
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_10_1	4.23452	0.0	0.0	0.0	0.0	0.0	0.0	0.51092	1.4912	0.05922	1.02755	0.0	0.0	0.06854	3.56064	0.0	0.07677	0.04132	1.16833
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_28_4	0.0	3.57297	0.00836	0.03271	0.32507	0.0	0.0	0.77217	0.04985	0.18177	1.24175	0.00832	0.33019	0.07729	0.08232	0.0	0.0	0.04875	0.02077
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_1	0.19613	0.16769	0.0	0.0	0.44807	0.0	0.00295	0.04187	0.01777	0.04654	0.02811	0.0	0.0	0.04931	0.04889	0.01725	0.0	0.01846	0.01328
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05331	0.0	0.0	0.0	0.0	0.0	0.0	0.06875	0.0	0.13777
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2	7.57656	0.4856	0.0	0.0	0.10271	0.0	0.0	0.0	0.03055	0.0	0.0	0.0	0.02545	0.0	0.06261	0.0	0.28018	0.04101	1.33889
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A4	0.20265	7.31318	0.0192	0.0	0.12803	0.01891	0.04546	5.11987	0.45346	0.1887	0.09897	0.0	0.56641	3.39615	1.50922	0.46263	3.01975	0.09897	1.15682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_COE1	0.05557	0.25717	0.0	0.0	0.0	0.0	0.0	0.14556	0.0	0.03015	0.00288	0.0	0.0	0.41716	0.37166	0.26121	1.17667	0.00254	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_M18_1	0.13608	0.03216	0.0	0.0	0.0	0.18201	0.0	0.00873	0.10525	0.01842	0.01768	0.0	0.0	0.0	0.02117	0.0363	0.01311	0.01088	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.28477	0.94663	0.0575	0.01481	0.0	0.13486	0.0395	0.41311	0.12388	0.10437	0.43426	0.01844	0.05396	0.02543	0.14523	0.11732	0.08608	0.01914	0.22691
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.28477	0.94663	0.0575	0.01481	0.0	0.13486	0.0395	0.41311	0.12388	0.10437	0.43426	0.01844	0.05396	0.02543	0.14523	0.11732	0.08608	0.01914	0.22691
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3	0.28477	0.94663	0.0575	0.01481	0.0	0.13486	0.0395	0.41311	0.12388	0.10437	0.43426	0.01844	0.05396	0.02543	0.14523	0.11732	0.08608	0.01914	0.22691
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.72957	10.65714	0.22247	0.10401	0.23131	1.33678	0.4214	3.45858	0.72313	1.3329	1.58292	0.15102	0.58612	0.50467	2.96259	1.02997	1.22485	0.56061	5.75244
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter	0.23816	2.76326	0.00869	0.02868	0.01553	0.82059	0.07756	0.05157	0.01615	0.13795	0.45042	0.0	0.2073	0.09261	0.13648	0.00359	0.43091	0.00544	1.2078
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter|s__Acutalibacter_muris	0.23816	2.76326	0.00869	0.02868	0.01553	0.82059	0.07756	0.05157	0.01615	0.13795	0.45042	0.0	0.2073	0.09261	0.13648	0.00359	0.43091	0.00544	1.2078
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	3.49141	7.89387	0.21379	0.07533	0.21579	0.51619	0.34384	3.40701	0.70697	1.19495	1.13251	0.15102	0.37882	0.41206	2.82611	1.02638	0.79394	0.55518	4.54464
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_G3_2012	3.49141	7.89387	0.21379	0.07533	0.21579	0.51619	0.34384	3.40701	0.70697	1.19495	1.13251	0.15102	0.37882	0.41206	2.82611	1.02638	0.79394	0.55518	4.54464
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0	0.158	37.37064	0.89297	24.92037	0.45814	25.89902	14.83988	0.09239	0.03971	6.06839	1.00293	9.0926	42.98675	0.0	0.0	0.0	0.1808	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0	0.158	37.37064	0.89297	24.92037	0.45814	25.89902	14.83988	0.09239	0.03971	6.06839	1.00293	9.0926	42.98675	0.0	0.0	0.0	0.1808	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.0	0.158	37.37064	0.89297	24.92037	0.45814	25.89902	14.83988	0.09239	0.03971	6.06839	1.00293	9.0926	42.98675	0.0	0.0	0.0	0.1808	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum	0.0	0.158	37.37064	0.89297	24.92037	0.45814	25.89902	14.67505	0.09239	0.03971	6.06839	1.00293	9.0926	42.98675	0.0	0.0	0.0	0.1808	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum_rodentium	0.0	0.158	37.37064	0.89297	24.92037	0.45814	25.89902	14.67505	0.09239	0.03971	6.06839	1.00293	9.0926	42.98675	0.0	0.0	0.0	0.1808	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium|s__Ileibacterium_valens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.69318	1.399	0.02172	0.08351	0.00144	0.15139	0.01077	0.32844	0.15217	0.1704	0.05745	0.0	0.04757	0.13209	0.53329	0.10134	0.22939	0.0192	1.19826
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.69318	1.399	0.02172	0.08351	0.00144	0.15139	0.01077	0.32844	0.15217	0.1704	0.05745	0.0	0.04757	0.13209	0.53329	0.10134	0.22939	0.0192	1.19826
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.69318	1.399	0.02172	0.08351	0.00144	0.15139	0.01077	0.32844	0.15217	0.1704	0.05745	0.0	0.04757	0.13209	0.53329	0.10134	0.22939	0.0192	1.19826
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	0.69318	1.399	0.02172	0.08351	0.00144	0.15139	0.01077	0.32844	0.15217	0.1704	0.05745	0.0	0.04757	0.13209	0.53329	0.10134	0.22939	0.0192	1.19826
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_ASF500	0.69318	1.399	0.02172	0.08351	0.00144	0.15139	0.01077	0.32844	0.15217	0.1704	0.05745	0.0	0.04757	0.13209	0.53329	0.10134	0.22939	0.0192	1.19826
k__Bacteria|p__Proteobacteria	0.21775	0.0	0.14897	0.0	0.10429	0.0	0.0	0.0	0.0	0.06602	0.0	0.06844	0.0	0.05624	0.0	0.0	0.0	0.13771	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.21775	0.0	0.14897	0.0	0.10429	0.0	0.0	0.0	0.0	0.06602	0.0	0.06844	0.0	0.05624	0.0	0.0	0.0	0.13771	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.21775	0.0	0.14897	0.0	0.10429	0.0	0.0	0.0	0.0	0.06602	0.0	0.06844	0.0	0.05624	0.0	0.0	0.0	0.13771	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.21775	0.0	0.14897	0.0	0.10429	0.0	0.0	0.0	0.0	0.06602	0.0	0.06844	0.0	0.05624	0.0	0.0	0.0	0.13771	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas	0.21775	0.0	0.14897	0.0	0.10429	0.0	0.0	0.0	0.0	0.06602	0.0	0.06844	0.0	0.05624	0.0	0.0	0.0	0.13771	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	0.21775	0.0	0.14897	0.0	0.10429	0.0	0.0	0.0	0.0	0.06602	0.0	0.06844	0.0	0.05624	0.0	0.0	0.0	0.13771	0.0
k__Bacteria|p__Verrucomicrobia	0.11618	0.0	14.26429	0.0	30.06316	35.30087	35.77037	6.789	0.66582	25.38219	0.0	4.8617	0.23925	4.12568	10.68457	2.53222	4.42385	5.22013	0.40468
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.11618	0.0	14.26429	0.0	30.06316	35.30087	35.77037	6.789	0.66582	25.38219	0.0	4.8617	0.23925	4.12568	10.68457	2.53222	4.42385	5.22013	0.40468
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.11618	0.0	14.26429	0.0	30.06316	35.30087	35.77037	6.789	0.66582	25.38219	0.0	4.8617	0.23925	4.12568	10.68457	2.53222	4.42385	5.22013	0.40468
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.11618	0.0	14.26429	0.0	30.06316	35.30087	35.77037	6.789	0.66582	25.38219	0.0	4.8617	0.23925	4.12568	10.68457	2.53222	4.42385	5.22013	0.40468
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.11618	0.0	14.26429	0.0	30.06316	35.30087	35.77037	6.789	0.66582	25.38219	0.0	4.8617	0.23925	4.12568	10.68457	2.53222	4.42385	5.22013	0.40468
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0.11618	0.0	14.26429	0.0	30.06316	35.30087	35.77037	6.789	0.66582	25.38219	0.0	4.8617	0.23925	4.12568	10.68457	2.53222	4.42385	5.22013	0.40468
k__Viruses	0.61017	0.64524	1.31322	2.21647	0.6498	0.96549	0.70565	3.02824	6.55808	0.96737	0.72139	0.54565	1.74122	2.01785	0.89732	1.91021	1.96504	9.26981	30.14199
k__Viruses|p__Viruses_unclassified	0.61017	0.64524	1.31322	2.21647	0.6498	0.96549	0.70565	3.02824	6.55808	0.96737	0.72139	0.54565	1.74122	2.01785	0.89732	1.91021	1.96504	9.26981	30.14199
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	0.61017	0.64524	1.31322	2.21647	0.6498	0.96549	0.70565	3.02824	6.55808	0.96737	0.72139	0.54565	1.74122	2.01785	0.89732	1.91021	1.96504	9.26981	30.14199
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myoviridae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45472	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myoviridae_unclassified|s__Lactobacillus_prophage_Lj771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45472	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myoviridae_unclassified|s__Shigella_phage_SfIV	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	0.0	0.0	0.0	0.0	0.37018	0.0	0.0	0.31348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified	0.0	0.0	0.0	0.0	0.37018	0.0	0.0	0.31348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Lactobacillus_phage_phiadh	0.0	0.0	0.0	0.0	0.37018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Stx2_converting_phage_1717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	0.52375	0.37533	0.76119	1.4613	0.27962	0.75879	0.4685	1.83474	3.13882	0.76427	0.43241	0.26744	1.04661	1.50504	0.64913	0.96102	0.8405	6.92076	20.12464
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Alloherpesviridae	0.52375	0.37533	0.76119	1.36834	0.23893	0.75879	0.43904	1.83474	3.08471	0.65332	0.43241	0.22147	1.04661	1.3703	0.64913	0.91709	0.8405	6.71008	19.94497
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus	0.52375	0.37533	0.76119	1.36834	0.23893	0.75879	0.43904	1.83474	3.08471	0.65332	0.43241	0.22147	1.04661	1.3703	0.64913	0.91709	0.8405	6.71008	19.94497
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Anguillid_herpesvirus_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05866
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3	0.52375	0.37533	0.76119	1.36834	0.23893	0.75879	0.43904	1.78792	3.08471	0.65332	0.43241	0.22147	1.04661	1.3703	0.64913	0.91709	0.8405	6.71008	19.88631
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae	0.0	0.0	0.0	0.09296	0.04068	0.0	0.02947	0.0	0.05411	0.11096	0.0	0.04597	0.0	0.13474	0.0	0.04393	0.0	0.21068	0.17967
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Macavirus	0.0	0.0	0.0	0.09296	0.0	0.0	0.01116	0.0	0.05411	0.11096	0.0	0.04597	0.0	0.13474	0.0	0.04393	0.0	0.21068	0.06804
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Macavirus|s__Alcelaphine_gammaherpesvirus_1	0.0	0.0	0.0	0.09296	0.0	0.0	0.01116	0.0	0.05411	0.11096	0.0	0.04597	0.0	0.13474	0.0	0.04393	0.0	0.21068	0.06804
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus	0.0	0.0	0.0	0.0	0.04068	0.0	0.01831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11163
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus|s__Ateline_gammaherpesvirus_3	0.0	0.0	0.0	0.0	0.04068	0.0	0.01831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11163
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	0.08642	0.11588	0.55203	0.75518	0.0	0.2067	0.23715	0.88001	2.95408	0.2031	0.20025	0.27821	0.69461	0.51281	0.24819	0.94919	0.66982	2.34905	9.90524
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae	0.08642	0.11588	0.55203	0.75518	0.0	0.2067	0.23715	0.88001	2.95408	0.2031	0.20025	0.27821	0.69461	0.51281	0.24819	0.94919	0.66982	2.34905	9.90524
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Betaretrovirus	0.0	0.0	0.09698	0.09559	0.0	0.0	0.02968	0.07222	0.33384	0.06558	0.0	0.07879	0.22339	0.12315	0.04778	0.06023	0.02109	0.6641	1.23608
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Betaretrovirus|s__Mouse_mammary_tumor_virus	0.0	0.0	0.09698	0.09559	0.0	0.0	0.02968	0.07222	0.33384	0.06558	0.0	0.07879	0.22339	0.12315	0.04778	0.06023	0.02109	0.6641	1.23608
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus	0.08642	0.11588	0.45505	0.65959	0.0	0.2067	0.20747	0.80779	2.62023	0.13752	0.20025	0.19943	0.47122	0.38966	0.20041	0.88896	0.64872	1.68495	8.66917
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus	0.08642	0.0	0.04831	0.0	0.0	0.0	0.0	0.0	0.07169	0.0	0.0	0.0	0.0	0.0	0.0	0.1164	0.0	0.27912	0.81131
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Feline_leukemia_virus	0.0	0.0	0.0	0.04512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01704	0.09907
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Koala_retrovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05413	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus	0.0	0.11588	0.40674	0.61448	0.0	0.2067	0.20747	0.80779	2.54854	0.13752	0.20025	0.19943	0.47122	0.38966	0.20041	0.77256	0.64872	1.33466	7.75878
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	0.0	0.15403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1121
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Polydnaviridae	0.0	0.15403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1121
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Polydnaviridae|g__Bracovirus	0.0	0.15403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1121
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Polydnaviridae|g__Bracovirus|s__Cotesia_congregata_bracovirus	0.0	0.15403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1121
