ID	E15_S89_known_profiled_metagenome	E19b_S88_known_profiled_metagenome	E28_S87_known_profiled_metagenome	E5b_S84_known_profiled_metagenome	E7_S78_known_profiled_metagenome	E8_S74_known_profiled_metagenome	R21b_S76_known_profiled_metagenome	R24_S82_known_profiled_metagenome	R5_S75_known_profiled_metagenome	R6_S81_known_profiled_metagenome	S11b_S73_known_profiled_metagenome	S11_S83_known_profiled_metagenome	S13_S79_known_profiled_metagenome	S22b_S90_known_profiled_metagenome	S22_S77_known_profiled_metagenome	S3b_S86_known_profiled_metagenome	S4_S85_known_profiled_metagenome	S9_S80_known_profiled_metagenome
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_1	0.07321	0.00613	0.04319	0.0	0.12564	0.02027	0.2576	0.30179	0.02141	0.08491	0.01607	0.04309	0.00868	0.01042	0.01207	0.00351	0.01485	0.06637
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_2	0.0	0.0	0.0	0.0	0.0	0.0018	0.0	0.0	0.44499	0.00567	0.0	0.0	0.0	0.0	0.0	0.0	0.00218	0.05261
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2	0.0	0.60342	0.0	0.49031	0.01679	0.16053	0.10464	1.16655	0.08748	0.22784	0.27137	0.0	0.01731	0.02979	0.02261	0.0	0.0	0.00763
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A4	0.18769	6.74989	0.15738	0.08547	0.65847	0.57581	0.19814	0.75247	0.0	0.29665	1.49034	0.40176	1.32802	0.29381	0.78251	0.13087	0.33624	0.68694
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_COE1	0.0	2.34879	0.23696	0.04326	1.54749	0.21531	0.0	0.02908	0.00981	0.02407	0.03172	0.10371	0.0	0.0	0.0	0.003	0.0	0.02112
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_M18_1	0.00211	0.00129	0.02735	0.01917	0.69975	0.00179	0.0	0.13497	0.00169	0.07648	0.26085	0.06296	0.01842	0.0	0.01427	0.01985	0.02083	0.92158
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.01315	0.09186	0.13169	0.39936	0.13429	0.06065	0.01829	0.78128	0.08827	0.31426	0.41591	0.23553	0.01094	0.00687	0.01998	0.0889	0.07309	0.06709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.01315	0.09186	0.13169	0.39936	0.13429	0.06065	0.01829	0.78128	0.08827	0.31426	0.41591	0.23553	0.01094	0.00687	0.01998	0.0889	0.07309	0.06709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3	0.01315	0.09186	0.13169	0.39936	0.13429	0.06065	0.01829	0.78128	0.08827	0.31426	0.41591	0.23553	0.01094	0.00687	0.01998	0.0889	0.07309	0.06709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.44957	1.56069	0.94966	3.94055	1.37531	0.8905	0.30804	5.94369	0.8963	2.77818	2.10211	2.2369	0.28959	0.22262	0.2083	0.78515	0.5475	1.11139
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter	0.13886	0.34206	0.18455	1.68626	0.05001	0.07433	0.0	0.13575	0.0	0.33662	0.21704	0.09429	0.01121	0.08056	0.0	0.11404	0.05266	0.4191
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter|s__Acutalibacter_muris	0.13886	0.34206	0.18455	1.68626	0.05001	0.07433	0.0	0.13575	0.0	0.33662	0.21704	0.09429	0.01121	0.08056	0.0	0.11404	0.05266	0.4191
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.31071	1.21863	0.76511	2.2543	1.3253	0.81617	0.30804	5.80794	0.8963	2.44156	1.88508	2.14261	0.27839	0.14207	0.2083	0.6711	0.49484	0.69229
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_G3_2012	0.31071	1.21863	0.76511	2.2543	1.3253	0.81617	0.30804	5.80794	0.8963	2.44156	1.88508	2.14261	0.27839	0.14207	0.2083	0.6711	0.49484	0.69229
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	7.98535	0.12614	19.38527	3.47151	0.10046	20.05666	4.84151	0.45628	0.0	0.0	0.58535	1.19734	0.12176	0.181	7.22399	0.36597	1.62988	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	7.98535	0.12614	19.38527	3.47151	0.10046	20.05666	4.84151	0.45628	0.0	0.0	0.58535	1.19734	0.12176	0.181	7.22399	0.36597	1.62988	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	7.98535	0.12614	19.38527	3.47151	0.10046	20.05666	4.84151	0.45628	0.0	0.0	0.58535	1.19734	0.12176	0.181	7.22399	0.36597	1.62988	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum	7.98535	0.12614	19.38527	3.47151	0.10046	20.05666	4.84151	0.2385	0.0	0.0	0.58535	1.19734	0.09747	0.181	7.22399	0.36597	1.62988	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum_rodentium	7.98535	0.12614	19.38527	3.47151	0.10046	20.05666	4.84151	0.2385	0.0	0.0	0.58535	1.19734	0.09747	0.181	7.22399	0.36597	1.62988	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21778	0.0	0.0	0.0	0.0	0.02429	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium|s__Ileibacterium_valens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21778	0.0	0.0	0.0	0.0	0.02429	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.01089	0.18352	0.07341	1.00545	0.11739	0.27533	0.00982	0.5379	0.02323	0.29957	0.27009	0.08867	0.01175	0.0034	0.01133	0.0761	0.09562	0.22141
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.01089	0.18352	0.07341	1.00545	0.11739	0.27533	0.00982	0.5379	0.02323	0.29957	0.27009	0.08867	0.01175	0.0034	0.01133	0.0761	0.09562	0.22141
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.01089	0.18352	0.07341	1.00545	0.11739	0.27533	0.00982	0.5379	0.02323	0.29957	0.27009	0.08867	0.01175	0.0034	0.01133	0.0761	0.09562	0.22141
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	0.01089	0.18352	0.07341	1.00545	0.11739	0.27533	0.00982	0.5379	0.02323	0.29957	0.27009	0.08867	0.01175	0.0034	0.01133	0.0761	0.09562	0.22141
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_ASF500	0.01089	0.18352	0.07341	1.00545	0.11739	0.27533	0.00982	0.5379	0.02323	0.29957	0.27009	0.08867	0.01175	0.0034	0.01133	0.0761	0.09562	0.22141
k__Bacteria|p__Proteobacteria	0.00727	0.0	0.11837	0.03393	0.0	0.08216	0.02141	0.07959	0.0	0.08607	0.01821	0.0	0.01785	0.04655	0.01293	0.01067	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00727	0.0	0.11837	0.03393	0.0	0.08216	0.01643	0.07959	0.0	0.08607	0.01821	0.0	0.01785	0.04655	0.01293	0.01067	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00727	0.0	0.11837	0.03393	0.0	0.08216	0.01643	0.07959	0.0	0.08607	0.01821	0.0	0.01785	0.04655	0.01293	0.01067	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.00727	0.0	0.11837	0.03393	0.0	0.08216	0.01643	0.07959	0.0	0.08607	0.01821	0.0	0.01785	0.04655	0.01293	0.01067	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas	0.00727	0.0	0.11837	0.03393	0.0	0.08216	0.01643	0.07959	0.0	0.08607	0.01821	0.0	0.01785	0.04655	0.01293	0.01067	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	0.00727	0.0	0.11837	0.03393	0.0	0.08216	0.01643	0.07959	0.0	0.08607	0.01821	0.0	0.01785	0.04655	0.01293	0.01067	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.00498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.00498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.00498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.0	0.0	0.0	0.0	0.0	0.0	0.00498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.0	0.0	0.0	0.0	0.0	0.0	0.00498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.01992	13.52005	7.97246	0.0	0.5546	3.24939	27.48096	0.07413	0.56032	12.92017	63.02951	0.44808	43.93905	52.10465	19.98578	5.47291	0.19238	31.40833
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.01992	13.52005	7.97246	0.0	0.5546	3.24939	27.48096	0.07413	0.56032	12.92017	63.02951	0.44808	43.93905	52.10465	19.98578	5.47291	0.19238	31.40833
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.01992	13.52005	7.97246	0.0	0.5546	3.24939	27.48096	0.07413	0.56032	12.92017	63.02951	0.44808	43.93905	52.10465	19.98578	5.47291	0.19238	31.40833
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.01992	13.52005	7.97246	0.0	0.5546	3.24939	27.48096	0.07413	0.56032	12.92017	63.02951	0.44808	43.93905	52.10465	19.98578	5.47291	0.19238	31.40833
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.01992	13.52005	7.97246	0.0	0.5546	3.24939	27.48096	0.07413	0.56032	12.92017	63.02951	0.44808	43.93905	52.10465	19.98578	5.47291	0.19238	31.40833
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0.01992	13.52005	7.97246	0.0	0.5546	3.24939	27.48096	0.07413	0.56032	12.92017	63.02951	0.44808	43.93905	52.10465	19.98578	5.47291	0.19238	31.40833
k__Viruses	2.34199	0.62405	3.13096	6.27273	2.69249	3.02798	0.71921	0.48034	2.2748	0.22565	0.86349	2.86208	0.28709	0.18227	1.17258	3.20697	3.12841	1.75134
k__Viruses|p__Viruses_unclassified	2.34199	0.62405	3.13096	6.27273	2.69249	3.02798	0.71921	0.48034	2.2748	0.22565	0.86349	2.86208	0.28709	0.18227	1.17258	3.20697	3.12841	1.75134
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	2.34199	0.62405	3.13096	6.27273	2.69249	3.02798	0.71921	0.48034	2.2748	0.22565	0.86349	2.86208	0.28709	0.18227	1.17258	3.20697	3.12841	1.75134
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myoviridae_unclassified	0.0	0.0	0.0	0.0	0.0	0.68795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23745
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myoviridae_unclassified|s__Enterobacteria_phage_SfV	0.0	0.0	0.0	0.0	0.0	0.55255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23745
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myoviridae_unclassified|s__Shigella_phage_SfIV	0.0	0.0	0.0	0.0	0.0	0.1354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	0.0	0.0	0.61006	0.0	0.10396	0.3465	0.04492	0.0	0.0	0.0	0.0	0.0	0.11666	0.03693	0.0	0.0	0.0	0.44726
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified	0.0	0.0	0.61006	0.0	0.10396	0.3465	0.04492	0.0	0.0	0.0	0.0	0.0	0.11666	0.03693	0.0	0.0	0.0	0.44726
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Enterobacteria_phage_cdtI	0.0	0.0	0.0	0.0	0.0	0.3465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44726
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Lactobacillus_phage_phiadh	0.0	0.0	0.61006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03693	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Lactococcus_phage_BM13	0.0	0.0	0.0	0.0	0.10396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Microbacterium_phage_Min1	0.0	0.0	0.0	0.0	0.0	0.0	0.04492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Stx2_converting_phage_1717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11666	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	1.39249	0.46051	2.14175	4.29667	1.64827	1.56142	0.3522	0.41162	1.92099	0.10458	0.4486	2.02708	0.11934	0.14535	1.03964	2.29502	2.0138	0.59295
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Alloherpesviridae	1.20076	0.46051	1.99959	3.89266	1.64827	1.46692	0.26857	0.35617	1.86079	0.10458	0.4486	1.98054	0.11934	0.14535	0.96883	2.24083	2.0138	0.56932
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus	1.20076	0.46051	1.99959	3.89266	1.64827	1.46692	0.26857	0.35617	1.86079	0.10458	0.4486	1.98054	0.11934	0.14535	0.96883	2.24083	2.0138	0.56932
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3	1.20076	0.46051	1.99959	3.89266	1.64827	1.46692	0.26857	0.35617	1.86079	0.10458	0.4486	1.98054	0.11934	0.14535	0.96883	2.24083	2.0138	0.56932
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae	0.19173	0.0	0.14216	0.40401	0.0	0.0945	0.08362	0.05545	0.0602	0.0	0.0	0.04654	0.0	0.0	0.07081	0.05419	0.0	0.02364
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Macavirus	0.19173	0.0	0.03321	0.40401	0.0	0.0945	0.08362	0.05545	0.0602	0.0	0.0	0.04654	0.0	0.0	0.02681	0.05419	0.0	0.02364
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Macavirus|s__Alcelaphine_gammaherpesvirus_1	0.19173	0.0	0.03321	0.40401	0.0	0.0945	0.08362	0.05545	0.0602	0.0	0.0	0.04654	0.0	0.0	0.02681	0.05419	0.0	0.02364
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus	0.0	0.0	0.10895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04399	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus|s__Ateline_gammaherpesvirus_3	0.0	0.0	0.10895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04399	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	0.9495	0.16353	0.37914	1.97606	0.94026	0.43211	0.3221	0.06873	0.32063	0.12107	0.41489	0.75831	0.03848	0.0	0.13294	0.91194	1.07272	0.47368
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae	0.9495	0.16353	0.37914	1.97606	0.94026	0.43211	0.3221	0.06873	0.32063	0.12107	0.41489	0.75831	0.03848	0.0	0.13294	0.91194	1.07272	0.47368
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Betaretrovirus	0.23658	0.10169	0.09105	0.43274	0.28599	0.05585	0.03707	0.0	0.13411	0.0	0.02752	0.12378	0.01014	0.0	0.0	0.21361	0.06738	0.05238
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Betaretrovirus|s__Mouse_mammary_tumor_virus	0.23658	0.10169	0.09105	0.43274	0.28599	0.05585	0.03707	0.0	0.13411	0.0	0.02752	0.12378	0.01014	0.0	0.0	0.21361	0.06738	0.05238
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus	0.71291	0.06184	0.28809	1.54332	0.65427	0.37626	0.28503	0.06873	0.18652	0.12107	0.38737	0.63453	0.02834	0.0	0.13294	0.69834	1.00534	0.4213
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus	0.0	0.0	0.0	0.06691	0.0	0.04173	0.0	0.0	0.0	0.0	0.04112	0.0	0.0	0.0	0.0	0.10769	0.25173	0.06263
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Feline_leukemia_virus	0.0	0.0334	0.0	0.03677	0.0	0.02293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01973	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Koala_retrovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03643
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus	0.71291	0.02844	0.28809	1.43965	0.65427	0.3116	0.28503	0.06873	0.18652	0.12107	0.34624	0.63453	0.02834	0.0	0.13294	0.57092	0.75361	0.32224
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03318	0.0	0.0	0.07668	0.01261	0.0	0.0	0.0	0.0419	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Baculoviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03318	0.0	0.0	0.0	0.01261	0.0	0.0	0.0	0.0419	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Baculoviridae|g__Alphabaculovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03318	0.0	0.0	0.0	0.01261	0.0	0.0	0.0	0.0419	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Baculoviridae|g__Alphabaculovirus|s__Chrysodeixis_chalcites_nucleopolyhedrovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03318	0.0	0.0	0.0	0.01261	0.0	0.0	0.0	0.0419	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Polydnaviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07668	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Polydnaviridae|g__Bracovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07668	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Polydnaviridae|g__Bracovirus|s__Cotesia_congregata_bracovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07668	0.0	0.0	0.0	0.0	0.0	0.0
