ID	E15_S89_known_profiled_metagenome	E19b_S88_known_profiled_metagenome	E28_S87_known_profiled_metagenome	E5b_S84_known_profiled_metagenome	E7_S78_known_profiled_metagenome	E8_S74_known_profiled_metagenome	R21b_S76_known_profiled_metagenome	R24_S82_known_profiled_metagenome	R5_S75_known_profiled_metagenome	R6_S81_known_profiled_metagenome	S11b_S73_known_profiled_metagenome	S11_S83_known_profiled_metagenome	S13_S79_known_profiled_metagenome	S22b_S90_known_profiled_metagenome	S22_S77_known_profiled_metagenome	S3b_S86_known_profiled_metagenome	S4_S85_known_profiled_metagenome	S9_S80_known_profiled_metagenome
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caecimuris	1.47431	0.87626	2.41045	2.6891	2.44399	1.80747	1.19513	1.24464	2.71021	0.71312	0.44067	2.54004	0.36697	0.41677	0.77984	3.20017	4.43957	0.94188
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecichinchillae	0.0	0.0	0.0	0.0	0.0	0.11143	0.0	0.0	0.05074	0.0	0.0	0.02029	0.0	0.00955	0.023	0.086	0.0	0.00903
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0.0	0.0	0.0	0.0	0.15422	0.01818	0.0	0.0	0.0	0.0	0.0	0.02445	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03919	0.0	0.03418	0.0	0.0	0.01474	0.02004	0.0	0.0	0.0	0.00635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	1.09972	0.15687	0.17397	2.84086	1.92197	0.59276	0.26915	1.49132	6.09573	0.72476	0.43204	1.64313	0.22146	0.02059	1.70605	1.1812	2.39322	0.13642
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.0	0.0	0.0	0.0	0.03395	0.0	0.0	0.0	0.05099	0.0	0.0	0.0	0.0	0.0	0.0	0.01462	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	58.35259	25.14388	35.20817	54.98716	58.14657	52.45649	15.55989	18.68296	58.75995	55.4943	22.00503	69.30968	15.6326	5.2481	28.01181	32.21237	42.10041	35.12734
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	32.67238	15.48173	19.72849	29.41141	31.89512	37.51055	5.50114	12.37102	38.94397	47.76264	15.44766	38.73757	11.14624	0.91785	14.55535	18.50328	25.49871	18.02892
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_DSM_103720	32.67238	15.48173	19.72849	29.41141	31.89512	37.51055	5.50114	12.37102	38.94397	47.76264	15.44766	38.73757	11.14624	0.91785	14.55535	18.50328	25.49871	18.02892
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	25.6802	9.66215	15.47967	25.57575	26.25145	14.94594	10.05876	6.31194	19.81598	7.73166	6.55737	30.57211	4.48636	4.33026	13.45646	13.70909	16.6017	17.09842
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale	25.6802	9.66215	15.47967	25.57575	26.25145	14.94594	10.05876	6.31194	19.81598	7.73166	6.55737	30.57211	4.48636	4.33026	13.45646	13.70909	16.6017	17.09842
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	4.9877	0.0	6.95289	0.04621	0.44247	0.0	22.89472	3.14556	1.00673	1.8701	0.0	3.23852	3.54959	7.90098	2.64501	21.94892	5.3347	1.12535
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	4.9877	0.0	6.95289	0.04621	0.44247	0.0	22.89472	3.14556	1.00673	1.8701	0.0	3.23852	3.54959	7.90098	2.64501	21.94892	5.3347	1.12535
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_MGM1	4.9877	0.0	6.95289	0.04621	0.44247	0.0	22.89472	3.14556	1.00673	1.8701	0.0	3.23852	3.54959	7.90098	2.64501	21.94892	5.3347	1.12535
